依你觀測的結果來辦	ㄧ ㄋㄧˇ ㄍㄨㄢ ㄘㄜˋ ㄉㄜ˙ ㄐㄧㄝˊ ㄍㄨㄛˇ ㄌㄞˊ ㄅㄢˋ
一首遺憾的歌	ㄧˋ ㄕㄡˇ ㄧˊ ㄏㄢˋ ㄉㄜ˙ ㄍㄜ
我已經吃過晚餐了	ㄨㄛˇ ㄧˇ ㄐㄧㄥ ㄔ ㄍㄨㄛˋ ㄨㄢˇ ㄘㄢ ㄌㄜ˙
現在幾點了	ㄒㄧㄢˋ ㄗㄞˋ ㄐㄧˇ ㄉㄧㄢˇ ㄌㄜ˙
這是他的決定	ㄓㄜˋ ㄕˋ ㄊㄚ ㄉㄜ˙ ㄐㄩㄝˊ ㄉㄧㄥˋ
我們明天再見面	ㄨㄛˇ ㄇㄣ˙ ㄇㄧㄥˊ ㄊㄧㄢ ㄗㄞˋ ㄐㄧㄢˋ ㄇㄧㄢˋ
請幫我訂一張機票	ㄑㄧㄥˇ ㄅㄤ ㄨㄛˇ ㄉㄧㄥˋ ㄧˋ ㄓㄤ ㄐㄧ ㄆㄧㄠˋ
這份報告還需要修改	ㄓㄜˋ ㄈㄣˋ ㄅㄠˋ ㄍㄠˋ ㄏㄞˊ ㄒㄩ ㄧㄠˋ ㄒㄧㄡ ㄍㄞˇ
學校今天提早放假	ㄒㄩㄝˊ ㄒㄧㄠˋ ㄐㄧㄣ ㄊㄧㄢ ㄊㄧˊ ㄗㄠˇ ㄈㄤˋ ㄐㄧㄚˋ
請你校正這份文件	ㄑㄧㄥˇ ㄋㄧˇ ㄐㄧㄠˋ ㄓㄥˋ ㄓㄜˋ ㄈㄣˋ ㄨㄣˊ ㄐㄧㄢˋ
音樂讓人放鬆心情	ㄧㄣ ㄩㄝˋ ㄖㄤˋ ㄖㄣˊ ㄈㄤˋ ㄙㄨㄥ ㄒㄧㄣ ㄑㄧㄥˊ
快樂的時光總是短暫	ㄎㄨㄞˋ ㄌㄜˋ ㄉㄜ˙ ㄕˊ ㄍㄨㄤ ㄗㄨㄥˇ ㄕˋ ㄉㄨㄢˇ ㄓㄢˋ
這個問題非常重要	ㄓㄜˋ ㄍㄜ˙ ㄨㄣˋ ㄊㄧˊ ㄈㄟ ㄔㄤˊ ㄓㄨㄥˋ ㄧㄠˋ
他重新做了一次實驗	ㄊㄚ ㄔㄨㄥˊ ㄒㄧㄣ ㄗㄨㄛˋ ㄌㄜ˙ ㄧˊ ㄘˋ ㄕˊ ㄧㄢˋ
銀行就在前面轉角	ㄧㄣˊ ㄏㄤˊ ㄐㄧㄡˋ ㄗㄞˋ ㄑㄧㄢˊ ㄇㄧㄢˋ ㄓㄨㄢˇ ㄐㄧㄠˇ
這樣做才行得通	ㄓㄜˋ ㄧㄤˋ ㄗㄨㄛˋ ㄘㄞˊ ㄒㄧㄥˊ ㄉㄜ˙ ㄊㄨㄥ
我和他是多年的好朋友	ㄨㄛˇ ㄏㄢˋ ㄊㄚ ㄕˋ ㄉㄨㄛ ㄋㄧㄢˊ ㄉㄜ˙ ㄏㄠˇ ㄆㄥˊ ㄧㄡˇ
數學考試真的很難	ㄕㄨˋ ㄒㄩㄝˊ ㄎㄠˇ ㄕˋ ㄓㄣ ㄉㄜ˙ ㄏㄣˇ ㄋㄢˊ
請你數一數總共有幾個	ㄑㄧㄥˇ ㄋㄧˇ ㄕㄨˇ ㄧˋ ㄕㄨˇ ㄗㄨㄥˇ ㄍㄨㄥˋ ㄧㄡˇ ㄐㄧˇ ㄍㄜ˙
他長得比哥哥還高	ㄊㄚ ㄓㄤˇ ㄉㄜ˙ ㄅㄧˇ ㄍㄜ ㄍㄜ ㄏㄞˊ ㄍㄠ
這條山路又陡又長	ㄓㄜˋ ㄊㄧㄠˊ ㄕㄢ ㄌㄨˋ ㄧㄡˋ ㄉㄡˇ ㄧㄡˋ ㄔㄤˊ
我覺得這樣並不太好	ㄨㄛˇ ㄐㄩㄝˊ ㄉㄜ˙ ㄓㄜˋ ㄧㄤˋ ㄅㄧㄥˋ ㄅㄨˋ ㄊㄞˋ ㄏㄠˇ
